SUB ID,Age,Sex
,,
103,20,F
,,
104,25,M
,,
106,19,F
,,
107,22,F
,,
108,19,F
,,
110,22,F
,,
113,23,F
,,
114,25,M
,,
115,23,M
,,
117,25,F
,,
118,28,M
,,
119,25,M
,,
120,23,F
,,
121,27,F
,,
122,25,M
,,
124,24,M
,,
126,33,M
,,
127,29,F
,,
128,26,M
,,
129,23,F
,,
130,21,M
,,
131,22,F
,,
133,33,M
,,
135,26,M
,,
137,25,M
,,
138,20,M
,,
139,22,F
,,
140,28,M
,,
141,19,M
,,
142,25,F
,,
143,21,F
,,
144,20,M
,,
145,34,F
,,
146,22,F
,,
147,22,F
,,
148,32,M
,,
149,29,M
,,
150,23,M
,,
151,22,F
,,
152,26,F
,,
153,26,M
,,
154,25,F
,,
155,22,F
,,
156,27,F
,,
157,25,M
,,
158,26,M
,,
159,23,F
,,
160,24,F
,,
161,22,F
,,
162,28,M
,,
163,22,M
,,
164,28,F
,,
166,23,F
,,
167,24,F
,,
168,24,F
,,
169,22,F
,,
170,23,F
,,
171,18,M
,,
172,28,M
,,
174,24,M
,,
175,31,M
,,
204,31,F
,,
205,39,F
,,
207,27,M
,,
208,28,M
,,
209,18,M
,,
210,27,F
,,
211,24,M
,,
212,25,F
,,
214,27,M
,,
215,26,F
,,
217,29,M
,,
218,23,F
,,
220,29,M
,,
221,26,F
,,
223,22,F
,,
224,22,M
,,
225,27,M
,,
227,18,F
,,
229,24,F
,,
230,26,M
,,
232,20,M
,,
234,21,F
,,
235,23,M
,,
238,24,F
,,
239,23,M
,,
240,24,F
,,
241,18,M
,,
242,26,M
,,
243,19,M
,,
245,38,F
,,
247,22,M
,,
248,26,F
,,
249,23,M
,,
251,28,M
,,
252,26,M
,,
254,23,M
,,
255,18,M
,,
257,27,F
,,
258,23,M
,,
259,21,M
,,
260,22,F
,,
261,25,M
,,
262,23,M
,,
263,23,F
,,
264,27,M
,,
265,28,M
,,
267,25,F
,,
268,19,M
,,
269,26,M
,,
270,32,F
,,
271,25,F
,,
272,30,F
,,
275,27,M
,,
276,25,M
,,
277,23,F
,,
278,22,F
,,
280,27,F
,,
281,21,F
,,
282,26,M
,,
283,22,F
,,
284,23,F
,,
285,30,F